appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,price
570,Dota 2,Valve,Valve,65,771846,111059,87,121889568,296575,121889568,296575,8250613,87803,11939,1089,256,570,0
440,Team Fortress 2,Valve,Valve,86,474459,31193,93,44846853,197058,44846853,197058,1403900,36466,4504,640,219,186,0
730,Counter-Strike: Global Offensive,Valve,Valve,71,2254256,269233,89,41730716,190728,39574593,186165,9341708,93327,17641,709,3918,253,1499
578080,PLAYERUNKNOWN'S BATTLEGROUNDS,PUBG Corporation,PUBG Corporation,12,394829,321806,54,33437402,172242,33268338,171836,20027238,135174,13848,1154,8632,702,2999
304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,74,278187,28196,90,35508620,177108,28432516,159666,601281,23884,1332,390,154,66,0
550,Left 4 Dead 2,Valve,Valve,95,217745,6970,96,19836079,134554,17284730,125931,721687,26163,2166,226,519,67,1999
230410,Warframe,Digital Extremes,Digital Extremes,78,165716,15138,91,21807746,140797,14249773,114695,974910,30401,4476,993,253,214,0
444090,Paladins,Hi-Rez Studios,Hi-Rez Studios,54,139866,26837,83,17232595,125748,14273358,114787,868655,28700,1418,414,254,105,0
4000,Garry's Mod,Facepunch Studios,Valve,92,321783,14322,95,14993306,117561,14020382,113795,998495,30766,6336,530,1029,121,999
218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,54,281999,56322,82,16107738,121714,12538033,107773,771835,27055,3630,610,599,345,0
227940,Heroes & Generals,RETO MOTO,RETO MOTO,23,58551,29360,66,17051119,125107,12172100,106228,232370,14853,764,362,50,46,0
240,Counter-Strike: Source,Valve,Valve,92,68770,3111,95,15759183,120432,11593658,103733,253223,15505,8134,411,664,55,1999
72850,The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,86,228418,14747,93,11602844,103774,11129664,101684,461760,20933,7364,558,2963,117,1999
301520,Robocraft,Freejam,Freejam,32,78004,29830,72,14157421,114334,10349388,98132,170057,12707,1109,267,131,57,0
8930,Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac, Linux)","2K Games, Aspyr (Mac, Linux)",95,119353,4469,96,10730216,99883,10156740,97233,598054,23820,10671,883,2548,341,2999
433850,H1Z1,Daybreak Game Company,Daybreak Game Company,13,105043,78483,57,12618965,108111,9999344,96492,1497742,37662,3680,131,338,21,0
