appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,price
271590,Grand Theft Auto V,Rockstar North,Rockstar Games,24,260781,123504,67,10147085,98061,7457606,84294,1447092,37354,7702,489,3995,158,5999
252950,Rocket League,"Psyonix, Inc.","Psyonix, Inc.",82,193799,15511,92,6938007,81347,5086305,69779,1015947,31312,6339,527,1227,243,1999
113400,APB Reloaded,Reloaded Productions,Reloaded Games,18,18633,11079,62,5592257,73131,2655109,50538,29821,5369,1369,217,128,54,0
227300,Euro Truck Simulator 2,SCS Software,SCS Software,97,135274,3998,96,5104501,69903,3628851,59025,510501,22207,4379,421,1262,122,1999
431960,Wallpaper Engine,Kristjan Skutta,Kristjan Skutta,97,43245,1323,96,4552301,66050,3375622,56943,993454,30964,1315,152,297,13,399
211500,RaceRoom Racing Experience,Sector3 Studios,"Sector3 Studios, RaceRoom Entertainment AG",13,4515,3286,57,4098663,62701,1240618,34594,24261,4843,296,201,25,37,0
321040,DiRT 3 Complete Edition,"Codemasters Racing Studio, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac)",78,13631,1314,88,3763047,60099,1748086,41043,42710,6426,481,109,130,27,299
12220,Grand Theft Auto: Episodes from Liberty City,Rockstar North / Toronto,Rockstar Games,33,5632,2028,71,2997549,53680,1156208,33399,9351,3007,841,200,209,240,1999
11020,TrackMania Nations Forever,Nadeo,Ubisoft,65,7208,993,87,2885845,52676,1625010,39577,38161,6074,430,106,69,22,0
335240,Transformice,Atelier 801,Atelier 801,54,10331,2046,83,2778690,51694,1620713,39525,30327,5415,845,568,41,30,0
24740,Burnout Paradise: The Ultimate Box,Criterion Games,Electronic Arts,62,9010,1371,87,2157497,45579,1069777,32129,19460,4337,404,108,125,40,1999
12750,GRID,Codemasters Studios,Codemasters,47,3075,723,83,1986656,43744,625237,24573,6065,2421,407,56,58,39,269
201700,DiRT Showdown,Codemasters Racing Studio,Codemasters,47,3607,868,81,2006369,43960,638379,24830,10614,3203,339,79,78,23,1499
386180,Crossout,Targem Games,Gaijin Entertainment,23,7377,3770,66,1763249,41220,1118047,32844,109176,10273,1007,517,165,89,0
234140,Mad Max,"Avalanche Studios, Feral Interactive (Mac), Feral Interactive (Linux)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)",74,30019,3038,89,1684399,40291,1084182,32344,30074,5392,1578,326,907,95,1999
207140,SpeedRunners,DoubleDutch Games,tinyBuild,86,19498,1332,94,1658874,39986,1094796,32502,33359,5679,697,93,278,31,1499
286570,F1 2015,"Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)",6,1553,1910,45,1593925,39198,366448,18817,266370,16045,554,144,63,37,3999
202170,Sleeping Dogs,United Front Games,Square Enix,89,14573,872,93,1508757,38139,945943,30216,4044,1977,1083,117,722,143,0
12900,AudioSurf,Dylan Fitterer,,92,8796,368,96,1429907,37132,941141,30139,5560,2318,437,85,131,80,999
9200,RAGE,id Software,Bethesda Softworks,41,8221,2381,75,1451894,37416,872906,29028,5813,2370,954,239,439,298,999
263280,SPINTIRES,Oovee® Game Studios,"Oovee® Game Studios, IMGN.PRO",59,15664,2683,84,1229245,34435,844348,28550,43974,6520,1780,457,567,45,1499
44350,GRID 2,"Codemasters Racing, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac)",49,9483,2208,81,1201193,34041,705350,26098,16680,4016,839,162,274,34,2999
