original_price,discount_original_price,discount_final_price,release_date,reviews,item_id,genre
US$14.99 ,0,0,  Sep 23  2014,  [Mixed- Very Positive],221540,  [Tower Defense- Strategy- Indie- Sci-fi- Co-op- Space- Multiplayer- Adventure- Singleplayer- Kickstarter- Local Co-Op]
US$4.99 ,0,0,  May 8  2015,  [Mostly Positive],287140,  [Indie- Simulation- Casual- Massively Multiplayer- Adventure]
US$7.99 ,0,0,  Sep 15  2016,  [Mostly Positive],338330,  [Early Access- Indie- Action]
US$19.99 ,0,0,  Sep 16  2010,  [Mostly Negative],400410,  [Adventure- Indie- Casual- Simulation- Visual Novel- Anime]
US$9.99 ,0,0,  Mar 17  2015,  [Mostly Negative],337730,  [Action- Indie- Casual]
US$14.99 ,0,0,  Nov 4  2014,  [Very Positive],330100,  [Early Access- Action- RPG- Indie- Simulation- Space]
US$12.99 ,0,0,  Mar 4  2016,  [Mostly Positive],425870,  [Early Access- Sports- Action- Indie]
US$4.99 ,0,0,  Aug 8  2016,  [Mixed],511340,  [Adventure- Indie- Post-apocalyptic- Puzzle- First-Person- Dark]
US$6.99 ,0,0,  Feb 27  2015,  [Mostly Positive],351340,  [Adventure- Indie- Point & Click- Female Protagonist- Gothic- Horror]
US$2.99 ,0,0,  Dec 17  2015,  [Positive],415990,  [Indie- Casual- Puzzle]
US$4.99 ,0,US$39.61 ,  Oct 4  2012,  [Very Positive- Very Positive],220760,  [RPG- Building- Open World- Fantasy- Crafting- Adventure- Singleplayer- Exploration- Moddable- Action]
US$14.99 ,0,0,  Feb 28  2014,  [Mixed],261920,  [Benchmark- Utilities- Software]
,US$1.99 ,US$0.99 ,  Jul 19  2016,  [Mostly Positive],490880,  [Indie- Action- Twin Stick Shooter]
US$4.99 ,0,0,  Jun 1  2015,  [Mixed],355100,  [Strategy- RPG- Indie- Turn-Based Tactics- Turn-Based- Dungeon Crawler]
US$4.99 ,0,US$17.56 ,  Aug 10  2015,  [Positive],355450,  [Indie- Casual]
US$4.99 ,0,0,  Sep 19  2006,  [Mixed],306520,  [Racing]
US$9.99 ,0,0,  Jul 15  2016,  [Mostly Negative],497000,  [Action- Adventure- Indie- Strategy- VR]
US$1.99 ,0,0,  Mar 17  2015,  [Mixed],356880,  [Indie- Platformer- Pixel Graphics]
US$9.99 ,0,0,  Aug 28  2007,  [Positive],304540,  [Sports- Action]
